abv,ibu,id,name,style,,brewery_id,ounces
0.09,30,1656,Wee Muckle,Scotch Ale / Wee Heavy,,1,16
0.065,55,1599,Royal Brat,Extra Special / Strong Bitter (ESB),,1,16
0.075,77,1420,Grapefruit Jungle (GFJ),American IPA,,1,16
0.056,50,1389,Osiris Pale Ale,American Pale Ale (APA),,1,16
0.099,75,1367,Bourbon Barrel Aged Timmie,Russian Imperial Stout,,1,16
0.063,23,1366,Stupid Sexy Flanders,Flanders Oud Bruin,,1,16
,,1347,Bourbon Barrel Cowbell,American Porter,,1,16
0.054,,1314,Popcorn Pilsner,German Pilsener,,1,16
0.071,27,1128,Ring of Dingle,Irish Dry Stout,,1,16
0.054,23,1127,Bourbon Barrel Wee Mac,Scottish Ale,,1,16
0.099,60,1049,Bourbon Barrel Johan,English Barleywine,,1,16
0.07,,934,The Deuce,American Brown Ale,,1,16
0.09,24,923,The Velvet Fog,Quadrupel (Quad),,1,16
0.055,23,874,Sun King Oktoberfest,Märzen / Oktoberfest,,1,16
0.052,24,739,Indianapolis Indians Lager,Dortmunder / Export Lager,,1,16
0.052,24,698,Indians Victory Lager (2012),Dortmunder / Export Lager,,1,16
0.08,,660,Chaka,Belgian Strong Pale Ale,,1,16
0.091,91,651,Isis,American Double / Imperial IPA,,1,16
0.09,30,584,Wee Muckle (2011),Scotch Ale / Wee Heavy,,1,16
0.075,77,532,Grapefruit Jungle (GFJ) (2011),American IPA,,1,16
0.055,23,526,Sun King Oktoberfest (2011),Märzen / Oktoberfest,,1,16
0.099,60,394,Johan the Barleywine,English Barleywine,,1,16
0.054,23,213,Wee Mac Scottish-Style Ale,Scottish Ale,,1,16
0.053,20,55,Sunlight Cream Ale,Cream Ale,,1,16
0.056,50,54,Osiris Pale Ale (2010),American Pale Ale (APA),,1,16
0.049,23,2604,Blonde Czich,American Blonde Ale,,1,16
0.07,61,2432,White Reaper,Belgian IPA,,1,16
0.051,,2431,Bobblehead,American Pale Wheat Ale,,1,16
0.052,,2430,Lucky Dog,American Pale Ale (APA),,1,16
0.048,,2429,Voodoo,American Porter,,1,16
0.054,48,1967,General George Patton Pilsner,Czech Pilsener,,1,16
0.065,,2603,Galaxyfest,American IPA,,1,16
0.05,45,2602,Citrafest,American IPA,,1,16
0.09,,2220,Barn Yeti,Belgian Strong Dark Ale,,1,16
0.069,65,2219,Scarecrow,American IPA,,1,16
0.09,50,2218,Ironman,English Strong Ale,,1,16
0.046,15,2217,Honey Kolsch,Kölsch,,1,16
0.052,18,2216,Copperhead Amber,Belgian Dark Ale,,1,16
0.08,22,2601,Deduction,Dubbel,,1,12
0.085,90,2600,Gone A-Rye,American Double / Imperial IPA,,1,16
,,2210,Special Release,,,1,16
0.068,70,2052,Dankosaurus,American IPA,,1,16
0.051,35,1584,Scruffy's Smoked Alt,Smoked Beer,,1,16
0.051,36,1182,Elliott's Phoned Home Pale Ale,American Pale Ale (APA),,1,16
0.05,18,1050,The Lawn Ranger,Cream Ale,,1,16
0.069,20,2599,Sex Panther,American Porter,,1,12
0.095,25,2073,Winter Warmer (Vault Series),Winter Warmer,,1,16
0.091,99,2063,Count Hopula (Vault Series),American Double / Imperial IPA,,1,16
0.055,,1995,Oktoberfest,Märzen / Oktoberfest,,1,12
0.05,15,1934,SunSpot Golden Ale,American Blonde Ale,,1,12
0.06,,1329,I.W.A. (2011),American Pale Wheat Ale,,1,12
0.065,,1299,Supermonk I.P.A.,Belgian IPA,,1,12
0.055,20,1073,Epicenter Amber Ale,American Amber / Red Ale,,1,12
0.05,15,1072,SanTan HefeWeizen,Hefeweizen,,1,12
0.07,85,1071,Hop Shock IPA,American IPA,,1,12
0.069,20,852,Sex Panther (2014),American Porter,,1,12
0.055,45,850,Devil’s Ale,American Pale Ale (APA),,1,12
0.081,,839,Rail Slide Imperial Spiced Ale,Herbed / Spiced Beer,,1,12
0.05,20,777,Mr. Pineapple,Fruit / Vegetable Beer,,1,12
0.055,45,764,American Idiot Ale (2012),American Pale Ale (APA),,1,12
0.07,85,317,Hop Shock IPA (2010),American IPA,,1,12
0.05,15,286,SanTan HefeWeizen (2010),Hefeweizen,,1,12
0.055,45,285,Devil’s Ale (2010),American Pale Ale (APA),,1,12
0.055,20,124,Epicenter Amber Ale (2010),American Amber / Red Ale,,1,12
0.062,80,2596,Heavy Lifting,American IPA,,1,12
,,2595,Bastian,American Strong Ale,,1,12
0.045,,2480,Healani,Hefeweizen,,1,12
0.055,,1525,Yabba Dhaba Chai Tea Porter,American Porter,,1,12
0.055,,1524,A Capella Gluten Free Pale Ale,American Pale Ale (APA),,1,12
0.06,,1523,Casper White Stout,American Blonde Ale,,1,12
0.06,,1254,JP's Ould Sod Irish Red IPA,American IPA,,1,12
0.052,35,2594,Surfrider,American Pale Ale (APA),,1,16
0.055,,2035,Kolschtal Eddy,Kölsch,,1,16
0.05,,2034,South Bay Session IPA,American IPA,,1,16
0.069,34,1562,Grandma's Pecan,English Brown Ale,,1,16
0.099,101,1561,Double Trunk,American Double / Imperial IPA,,1,16
0.07,,2593,Grapefruit Sculpin,American IPA,,1,12
0.038,40,2105,Even Keel,American IPA,,1,12
0.052,23,1401,Ballast Point Pale Ale,Kölsch,,1,12
0.07,75,1400,Big Eye India Pale Ale,American IPA,,1,12
0.046,,1019,Longfin Lager,Munich Helles Lager,,1,12
0.07,70,1018,Sculpin IPA,American IPA,,1,12
0.059,,2592,Liberty Ale,American IPA,,1,12
0.065,,2578,IPA,American IPA,,1,12
0.045,,2577,Summer Wheat,American Pale Wheat Ale,,1,12
0.049,,2103,California Lager,American Amber / Red Lager,,1,12
0.056,,2102,Brotherhood Steam,California Common / Steam Beer,,1,12
0.045,,2591,Weiss Weiss Baby,Kristalweizen,,1,12
0.055,45,2590,Czech Yo Self,Czech Pilsener,,1,12
0.048,20,1968,FMB 101,Kölsch,,1,12
0.08,,2589,Raja,American Double / Imperial IPA,,1,12
0.064,,2546,Perzik Saison,Saison / Farmhouse Ale,,1,12
0.047,42,146,Avery Joe’s Premium American Pilsner,German Pilsener,,1,12
0.056,10,108,White Rascal,Witbier,,1,12
0.063,69,107,Avery India Pale Ale,American IPA,,1,12
0.055,17,106,Ellie’s Brown Ale,American Brown Ale,,1,12
0.054,26,2588,Cow Creek,American Amber / Red Lager,,1,12
0.075,63,2458,Chupahopra,American IPA,,1,12
0.051,19,2212,Twisted X,American Adjunct Lager,,1,12
0.07,11,2587,Vanilla Porter,American Porter,,1,16
0.06,,2586,Blueberry Blonde,Fruit / Vegetable Beer,,1,12
0.075,60,2585,Galaxy IPA,American IPA,,1,16
0.046,8,2584,Gose,Gose,,1,16
0.048,20,2583,Vermont Pilsner,German Pilsener,,1,16
0.055,,2582,Mosaic Single Hop IPA,American IPA,,1,16
0.045,,2581,Lost Galaxy,American IPA,,1,16
0.035,,2580,Gose,Gose,,1,16
0.043,,1807,Maine Island Trail Ale,American Pale Ale (APA),,1,16
0.05,100,2579,Jah Mon,American IPA,,1,12
0.062,,2373,Oktoberfest,Märzen / Oktoberfest,,1,12
0.08,,2049,Headless Wylie,Pumpkin Ale,,1,12
0.05,,2048,Dayman IPA,American IPA,,1,12
0.071,,1880,All Aboard! Anniversary Stout,Oatmeal Stout,,1,12
0.062,,1879,Hop Lace,American White IPA,,1,12
0.048,,1878,OH-PA Session Pale Ale,American Pale Ale (APA),,1,12
